Ragione Sociale,Forma Giuridica,Settore,Anno Fondazione,Partita IVA,Categoria,Dipendenti,Fatturato (milioni €),Telefono,Email,Sito Web,Indirizzo,CAP,Città,Provincia,Descrizione
Metalconsulting,Ditta individuale,Agricoltura,2012,39660544506,Micro impresa,7,1.81,+39 360 6254550,info@metalconsulting.it,https://www.metalconsulting.it,"Viale della Repubblica, 69 - 37118 Verona (VR)",37118,Verona,VR,Azienda a conduzione familiare con 13 anni di esperienza nel settore agricoltura. Siamo una micro impresa con 7 dipendenti e un fatturato annuo di 1.81 milioni di euro.
Costa-Bianchi S.r.l.s.,S.r.l.s.,Artigianato,1958,15563233326,Micro impresa,7,0.44,+39 055 9623675,info@costabianchi.it,https://www.costabianchi.it,"Via dell'Industria, 24 - 18028 Vicenza (VI)",18028,Vicenza,VI,Azienda a conduzione familiare con 67 anni di esperienza nel settore artigianato. Siamo una micro impresa con 7 dipendenti e un fatturato annuo di 0.44 milioni di euro.
F.L.U. S.r.l.,S.r.l.,Alimentare,2015,71685464732,Micro impresa,4,0.43,+39 06 7422558,contatti@flu.it,,"Via Roma, 156 - 70116 Bari (BA)",70116,Bari,BA,Azienda a conduzione familiare con 10 anni di esperienza nel settore alimentare. Siamo una micro impresa con 4 dipendenti e un fatturato annuo di 0.43 milioni di euro.
Rossi Servizi S.r.l.s.,S.r.l.s.,Tessile,2017,31879928700,Micro impresa,6,1.95,+39 360 4099236,vendite@rossiservizi.it,https://www.rossiservizi.it,"Via XXV Aprile, 151 - 37147 Verona (VR)",37147,Verona,VR,Azienda a conduzione familiare con 8 anni di esperienza nel settore tessile. Siamo una micro impresa con 6 dipendenti e un fatturato annuo di 1.95 milioni di euro.
X.R.B.L. S.a.s.,S.a.s.,Servizi alla persona,2002,89615006274,Micro impresa,6,0.71,+39 329 5393509,amministrazione@xrbl.it,https://www.xrbl.it,"Via Dante, 184 - 21086 Treviso (TV)",21086,Treviso,TV,"PMI italiana attiva nel settore servizi alla persona dal 2002. Con 6 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Lazio Legno S.p.A.,S.p.A.,Metalmeccanica,2010,33234452451,Piccola impresa,29,2.8,+39 051 3400486,info@laziolegno.it,https://www.laziolegno.it,"Via Edison, 135 - 21078 Varese (VA)",21078,Varese,VA,"PMI italiana attiva nel settore metalmeccanica dal 2010. Con 29 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Tessileprom S.r.l.,S.r.l.,Artigianato,1977,26595057825,Micro impresa,3,0.11,+39 081 3383496,ufficio@tessileprom.it,https://www.tessileprom.it,"Via Galilei, 35 - 20102 Milano (MI)",20102,Milano,MI,"PMI italiana attiva nel settore artigianato dal 1977. Con 3 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Mecprom S.r.l.,S.r.l.,Trasporti,2014,15199703486,Micro impresa,4,0.17,+39 051 3235894,mecprom@pec.it,https://www.mecprom.it,"Via II Giugno, 85 - 53016 Como (CO)",53016,Como,CO,"Realtà imprenditoriale italiana fondata nel 2014, specializzata nel settore trasporti. La nostra struttura conta 4 professionisti qualificati e ha un fatturato di 0.17 milioni di euro."
Stampasystem S.n.c.,S.n.c.,ICT,2017,97439825515,Micro impresa,9,1.52,+39 347 8673205,vendite@stampasystem.it,https://www.stampasystem.it,"Via XXV Aprile, 194 - 42018 Modena (MO)",42018,Modena,MO,"Da oltre 8 anni siamo specializzati nel settore ict. La nostra azienda, con sede a Modena, conta 9 collaboratori e un fatturato di 1.52 milioni di euro."
Veneto Legno S.r.l.,S.r.l.,Chimica,2010,63564319514,Piccola impresa,48,8.71,+39 389 1897254,ufficio@venetolegno.it,https://www.venetolegno.it,"Via Europa, 62 - 80021 Cagliari (CA)",80021,Cagliari,CA,"Fondata nel 2010, la nostra azienda opera nel settore chimica con 48 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
F.E.P. S.r.l.s.,S.r.l.s.,Turismo,2019,18471739613,Piccola impresa,44,5.32,+39 055 1592650,vendite@fep.it,https://www.fep.it,"Via II Giugno, 160 - 70151 Bari (BA)",70151,Bari,BA,Azienda a conduzione familiare con 6 anni di esperienza nel settore turismo. Siamo una piccola impresa con 44 dipendenti e un fatturato annuo di 5.32 milioni di euro.
Rossi-Romano S.r.l.,S.r.l.,Tessile,2015,41656322161,Micro impresa,9,1.61,+39 010 3072893,rossiromano@libero.it,https://www.rossiromano.it,"Via Torino, 93 - 80021 Pescara (PE)",80021,Pescara,PE,"Realtà imprenditoriale italiana fondata nel 2015, specializzata nel settore tessile. La nostra struttura conta 9 professionisti qualificati e ha un fatturato di 1.61 milioni di euro."
Emilia Meccanica S.n.c.,S.n.c.,Elettronica,2013,98460281521,Micro impresa,9,1.2,+39 010 8136037,contatti@emiliameccanica.it,https://www.emiliameccanica.it,"Via Galilei, 29 - 40182 Bologna (BO)",40182,Bologna,BO,"PMI italiana attiva nel settore elettronica dal 2013. Con 9 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Y.Z. Società cooperativa,Società cooperativa,Edilizia,1982,90121515740,Micro impresa,9,1.94,+39 051 8416577,amministrazione@yz.it,https://www.yz.it,"Via Marconi, 62 - 14042 Cagliari (CA)",14042,Cagliari,CA,Azienda a conduzione familiare con 43 anni di esperienza nel settore edilizia. Siamo una micro impresa con 9 dipendenti e un fatturato annuo di 1.94 milioni di euro.
Bruno Servizi S.r.l.s.,S.r.l.s.,Alimentare,1994,89506964538,Micro impresa,4,1.74,+39 051 5944770,ufficio@brunoservizi.it,https://www.brunoservizi.it,"Via Fermi, 93 - 35196 Padova (PD)",35196,Padova,PD,Azienda a conduzione familiare con 31 anni di esperienza nel settore alimentare. Siamo una micro impresa con 4 dipendenti e un fatturato annuo di 1.74 milioni di euro.
Bianchi Legno S.n.c.,S.n.c.,Chimica,2001,31026849249,Micro impresa,5,0.62,+39 320 5386268,bianchilegno@yahoo.it,https://www.bianchilegno.it,"Via Roma, 153 - 42093 Treviso (TV)",42093,Treviso,TV,"Realtà imprenditoriale italiana fondata nel 2001, specializzata nel settore chimica. La nostra struttura conta 5 professionisti qualificati e ha un fatturato di 0.62 milioni di euro."
Piemonte Plastica S.n.c.,S.n.c.,Manifatturiero,1994,90315679710,Micro impresa,1,1.19,+39 370 4109769,contatti@piemonteplastica.it,https://www.piemonteplastica.it,"Via IV Novembre, 92 - 22097 Trento (TN)",22097,Trento,TN,Azienda a conduzione familiare con 31 anni di esperienza nel settore manifatturiero. Siamo una micro impresa con 1 dipendenti e un fatturato annuo di 1.19 milioni di euro.
G.Q.M.H. S.r.l.,S.r.l.,Agricoltura,2010,88447997419,Piccola impresa,28,4.72,+39 045 5131082,vendite@gqmh.it,https://www.gqmh.it,"Viale delle Nazioni, 191 - 70178 Bari (BA)",70178,Bari,BA,"Da oltre 15 anni siamo specializzati nel settore agricoltura. La nostra azienda, con sede a Bari, conta 28 collaboratori e un fatturato di 4.72 milioni di euro."
Lazio Metalli,Ditta individuale,Artigianato,2022,31095893535,Micro impresa,2,1.41,+39 091 9052505,ufficio@laziometalli.it,,"Via dell'Artigianato, 38 - 25126 Brescia (BS)",25126,Brescia,BS,"Fondata nel 2022, la nostra azienda opera nel settore artigianato con 2 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Conti-Rossi S.r.l.,S.r.l.,Servizi alle imprese,2018,68423416295,Micro impresa,9,0.19,+39 391 3632300,ufficio@contirossi.it,https://www.contirossi.it,"Via Milano, 170 - 70183 Bari (BA)",70183,Bari,BA,Azienda a conduzione familiare con 7 anni di esperienza nel settore servizi alle imprese. Siamo una micro impresa con 9 dipendenti e un fatturato annuo di 0.19 milioni di euro.
Marino Meccanica,Ditta individuale,Commercio,2017,85012918767,Micro impresa,8,0.57,+39 370 6952486,marinomeccanica@gmail.com,https://www.marinomeccanica.it,"Via Torino, 45 - 44053 Reggio Emilia (RE)",44053,Reggio Emilia,RE,"Realtà imprenditoriale italiana fondata nel 2017, specializzata nel settore commercio. La nostra struttura conta 8 professionisti qualificati e ha un fatturato di 0.57 milioni di euro."
Bruno-Marino,Ditta individuale,Commercio,2013,08235774730,Micro impresa,7,1.88,+39 049 3441418,contatti@brunomarino.it,https://www.brunomarino.it,"Via Fermi, 49 - 40129 Bologna (BO)",40129,Bologna,BO,"PMI italiana attiva nel settore commercio dal 2013. Con 7 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Romano Meccanica,Ditta individuale,Legno e arredo,2003,59531109568,Micro impresa,6,1.16,+39 06 4359285,amministrazione@romanomeccanica.it,https://www.romanomeccanica.it,"Via II Giugno, 180 - 88078 Trento (TN)",88078,Trento,TN,"Da oltre 22 anni siamo specializzati nel settore legno e arredo. La nostra azienda, con sede a Trento, conta 6 collaboratori e un fatturato di 1.16 milioni di euro."
Edisolutions Società cooperativa,Società cooperativa,Manifatturiero,1984,18272081231,Micro impresa,9,1.6,+39 06 579964,amministrazione@edisolutions.it,https://www.edisolutions.it,"Via II Giugno, 180 - 71066 Reggio Emilia (RE)",71066,Reggio Emilia,RE,"Da oltre 41 anni siamo specializzati nel settore manifatturiero. La nostra azienda, con sede a Reggio Emilia, conta 9 collaboratori e un fatturato di 1.6 milioni di euro."
Greco & Giordano S.a.s.,S.a.s.,Manifatturiero,1994,36823948903,Micro impresa,3,0.47,+39 055 1433222,vendite@grecoegiordano.it,https://www.grecoegiordano.it,"Via dell'Artigianato, 112 - 95076 Vicenza (VI)",95076,Vicenza,VI,"Realtà imprenditoriale italiana fondata nel 1994, specializzata nel settore manifatturiero. La nostra struttura conta 3 professionisti qualificati e ha un fatturato di 0.47 milioni di euro."
Veneto Impianti S.a.s.,S.a.s.,Agricoltura,2015,43250051606,Micro impresa,4,1.92,+39 06 8058478,venetoimpianti@libero.it,https://www.venetoimpianti.it,"Via Garibaldi, 42 - 80116 Napoli (NA)",80116,Napoli,NA,"Fondata nel 2015, la nostra azienda opera nel settore agricoltura con 4 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Brianza Tessile S.r.l.,S.r.l.,Alimentare,2015,61243329726,Micro impresa,6,1.08,+39 380 4717047,contatti@brianzatessile.it,https://www.brianzatessile.it,"Via Firenze, 163 - 32051 Treviso (TV)",32051,Treviso,TV,"Da oltre 10 anni siamo specializzati nel settore alimentare. La nostra azienda, con sede a Treviso, conta 6 collaboratori e un fatturato di 1.08 milioni di euro."
Autoconsulting,Ditta individuale,Tessile,2003,70825037384,Micro impresa,1,0.07,+39 091 5466102,ufficio@autoconsulting.it,https://www.autoconsulting.it,"Via Milano, 80 - 44079 Bergamo (BG)",44079,Bergamo,BG,"Da oltre 22 anni siamo specializzati nel settore tessile. La nostra azienda, con sede a Bergamo, conta 1 collaboratori e un fatturato di 0.07 milioni di euro."
Arredologistic S.a.s.,S.a.s.,Manifatturiero,2007,70094110138,Micro impresa,8,0.54,+39 091 5686357,arredologistic@libero.it,https://www.arredologistic.it,"Via del Lavoro, 6 - 76050 Perugia (PG)",76050,Perugia,PG,"Fondata nel 2007, la nostra azienda opera nel settore manifatturiero con 8 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Bianchi Trasporti,Ditta individuale,Metalmeccanica,2021,50771716332,Micro impresa,2,0.34,+39 389 9957435,contatti@bianchitrasporti.it,https://www.bianchitrasporti.it,"Via Mazzini, 103 - 12045 Prato (PO)",12045,Prato,PO,"PMI italiana attiva nel settore metalmeccanica dal 2021. Con 2 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Marche Meccanica,Ditta individuale,Agricoltura,2018,35955663845,Micro impresa,5,1.77,+39 345 5443030,marchemeccanica@gmail.com,https://www.marchemeccanica.it,"Via dell'Industria, 48 - 46052 Venezia (VE)",46052,Venezia,VE,"Fondata nel 2018, la nostra azienda opera nel settore agricoltura con 5 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Colombo Edilizia S.r.l.,S.r.l.,Edilizia,2007,11996158568,Piccola impresa,28,9.98,+39 081 1885287,colomboedilizia@legalmail.it,https://www.colomboedilizia.it,"Via Galilei, 56 - 50167 Firenze (FI)",50167,Firenze,FI,"Realtà imprenditoriale italiana fondata nel 2007, specializzata nel settore edilizia. La nostra struttura conta 28 professionisti qualificati e ha un fatturato di 9.98 milioni di euro."
Rossi Legno S.r.l.,S.r.l.,Servizi alle imprese,2014,59396448638,Micro impresa,9,0.75,+39 370 4402667,contatti@rossilegno.it,https://www.rossilegno.it,"Via I Maggio, 76 - 00115 Roma (RM)",00115,Roma,RM,"Da oltre 11 anni siamo specializzati nel settore servizi alle imprese. La nostra azienda, con sede a Roma, conta 9 collaboratori e un fatturato di 0.75 milioni di euro."
Romano-Colombo S.r.l.,S.r.l.,Servizi alle imprese,2008,99340025085,Micro impresa,7,1.62,+39 055 1420719,ufficio@romanocolombo.it,https://www.romanocolombo.it,"Viale dell'Indipendenza, 22 - 45093 Udine (UD)",45093,Udine,UD,"Fondata nel 2008, la nostra azienda opera nel settore servizi alle imprese con 7 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Ricci Impianti Società cooperativa,Società cooperativa,Commercio,2014,52891556817,Micro impresa,4,1.8,+39 340 8385783,info@ricciimpianti.it,https://www.ricciimpianti.it,"Via XX Settembre, 173 - 32054 Pescara (PE)",32054,Pescara,PE,Azienda a conduzione familiare con 11 anni di esperienza nel settore commercio. Siamo una micro impresa con 4 dipendenti e un fatturato annuo di 1.8 milioni di euro.
Ricci-Romano,Ditta individuale,Elettronica,2011,67050182487,Micro impresa,5,1.57,+39 02 2495013,ricciromano@virgilio.it,https://www.ricciromano.it,"Via Roma, 85 - 74073 Ancona (AN)",74073,Ancona,AN,"Realtà imprenditoriale italiana fondata nel 2011, specializzata nel settore elettronica. La nostra struttura conta 5 professionisti qualificati e ha un fatturato di 1.57 milioni di euro."
J.I. Società cooperativa,Società cooperativa,Agricoltura,2003,71093049684,Piccola impresa,14,4.61,+39 055 3083504,vendite@ji.it,https://www.ji.it,"Viale della Libertà, 82 - 21026 Pescara (PE)",21026,Pescara,PE,"Realtà imprenditoriale italiana fondata nel 2003, specializzata nel settore agricoltura. La nostra struttura conta 14 professionisti qualificati e ha un fatturato di 4.61 milioni di euro."
Brianza Vetro S.r.l.,S.r.l.,Tessile,2009,58438838603,Micro impresa,8,1.93,+39 320 8858504,ufficio@brianzavetro.it,https://www.brianzavetro.it,"Via Napoli, 3 - 92013 Ancona (AN)",92013,Ancona,AN,"Da oltre 16 anni siamo specializzati nel settore tessile. La nostra azienda, con sede a Ancona, conta 8 collaboratori e un fatturato di 1.93 milioni di euro."
D.W.J.,Ditta individuale,Chimica,2006,16054540590,Micro impresa,4,0.86,+39 320 7043906,ufficio@dwj.it,,"Via XXV Aprile, 116 - 42018 Como (CO)",42018,Como,CO,"Realtà imprenditoriale italiana fondata nel 2006, specializzata nel settore chimica. La nostra struttura conta 4 professionisti qualificati e ha un fatturato di 0.86 milioni di euro."
Moretti e Esposito S.n.c.,S.n.c.,Plastica,2000,10656575996,Micro impresa,6,1.75,+39 328 4425807,morettieesposito@gmail.com,,"Via delle Industrie, 48 - 72011 Modena (MO)",72011,Modena,MO,"Da oltre 25 anni siamo specializzati nel settore plastica. La nostra azienda, con sede a Modena, conta 6 collaboratori e un fatturato di 1.75 milioni di euro."
Mectech Società cooperativa,Società cooperativa,Legno e arredo,1997,50070711464,Micro impresa,3,1.33,+39 06 1620856,contatti@mectech.it,,"Viale della Libertà, 142 - 80176 Napoli (NA)",80176,Napoli,NA,"PMI italiana attiva nel settore legno e arredo dal 1997. Con 3 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Rossi - Barbieri S.n.c.,S.n.c.,Servizi alla persona,2020,44907722768,Micro impresa,2,0.54,+39 338 3681486,rossibarbieri@hotmail.it,https://www.rossibarbieri.it,"Via Venezia, 39 - 50178 Firenze (FI)",50178,Firenze,FI,"Realtà imprenditoriale italiana fondata nel 2020, specializzata nel settore servizi alla persona. La nostra struttura conta 2 professionisti qualificati e ha un fatturato di 0.54 milioni di euro."
Lombardia Edile,Ditta individuale,Turismo,1978,10631057391,Micro impresa,6,0.96,+39 02 1026140,info@lombardiaedile.it,,"Via Venezia, 1 - 97014 Bolzano (BZ)",97014,Bolzano,BZ,"Fondata nel 1978, la nostra azienda opera nel settore turismo con 6 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Esposito & Bruno S.r.l.,S.r.l.,Edilizia,2001,31654410337,Micro impresa,5,1.42,+39 360 5221214,info@espositoebruno.it,https://www.espositoebruno.it,"Via XXV Aprile, 80 - 35132 Padova (PD)",35132,Padova,PD,Azienda a conduzione familiare con 24 anni di esperienza nel settore edilizia. Siamo una micro impresa con 5 dipendenti e un fatturato annuo di 1.42 milioni di euro.
Brianza Tessile,Ditta individuale,Meccanica,2001,09381859180,Micro impresa,8,1.39,+39 02 7633818,contatti@brianzatessile.it,https://www.brianzatessile.it,"Via dell'Industria, 82 - 61080 Vicenza (VI)",61080,Vicenza,VI,"PMI italiana attiva nel settore meccanica dal 2001. Con 8 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Plastgroup S.r.l.,S.r.l.,Legno e arredo,2014,89197293927,Micro impresa,3,0.32,+39 055 916761,contatti@plastgroup.it,https://www.plastgroup.it,"Via Europa, 6 - 80158 Napoli (NA)",80158,Napoli,NA,Azienda a conduzione familiare con 11 anni di esperienza nel settore legno e arredo. Siamo una micro impresa con 3 dipendenti e un fatturato annuo di 0.32 milioni di euro.
I.M. S.r.l.,S.r.l.,Servizi alle imprese,2020,20052953722,Micro impresa,5,0.92,+39 02 1702021,ufficio@im.it,https://www.im.it,"Via XX Settembre, 135 - 80161 Napoli (NA)",80161,Napoli,NA,"Realtà imprenditoriale italiana fondata nel 2020, specializzata nel settore servizi alle imprese. La nostra struttura conta 5 professionisti qualificati e ha un fatturato di 0.92 milioni di euro."
Brianza Metalli,Ditta individuale,Elettronica,2013,98472786194,Micro impresa,9,0.66,+39 345 7478929,info@brianzametalli.it,https://www.brianzametalli.it,"Via XX Settembre, 28 - 43026 Venezia (VE)",43026,Venezia,VE,"Da oltre 12 anni siamo specializzati nel settore elettronica. La nostra azienda, con sede a Venezia, conta 9 collaboratori e un fatturato di 0.66 milioni di euro."
A.Y.F.Y.,Ditta individuale,Metalmeccanica,2010,87870853814,Micro impresa,6,1.85,+39 388 1451851,ufficio@ayfy.it,https://www.ayfy.it,"Via XX Settembre, 102 - 55079 Cagliari (CA)",55079,Cagliari,CA,"Da oltre 15 anni siamo specializzati nel settore metalmeccanica. La nostra azienda, con sede a Cagliari, conta 6 collaboratori e un fatturato di 1.85 milioni di euro."
Lazio Stampa S.n.c.,S.n.c.,Manifatturiero,2015,96266717906,Piccola impresa,22,3.12,+39 055 2707131,contatti@laziostampa.it,https://www.laziostampa.it,"Via Garibaldi, 193 - 38069 Treviso (TV)",38069,Treviso,TV,Azienda a conduzione familiare con 10 anni di esperienza nel settore manifatturiero. Siamo una piccola impresa con 22 dipendenti e un fatturato annuo di 3.12 milioni di euro.
Ferrari Servizi,Ditta individuale,Meccanica,2009,85158030914,Micro impresa,6,0.71,+39 392 2306717,ufficio@ferrariservizi.it,https://www.ferrariservizi.it,"Via Napoli, 110 - 73073 Como (CO)",73073,Como,CO,"Fondata nel 2009, la nostra azienda opera nel settore meccanica con 6 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Piemonte Stampa S.r.l.,S.r.l.,Metalmeccanica,2008,64780650464,Micro impresa,7,0.26,+39 02 750142,amministrazione@piemontestampa.it,https://www.piemontestampa.it,"Via XXV Aprile, 139 - 35145 Padova (PD)",35145,Padova,PD,"PMI italiana attiva nel settore metalmeccanica dal 2008. Con 7 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Romagna Meccanica S.r.l.,S.r.l.,Metalmeccanica,2019,51392453935,Micro impresa,3,1.6,+39 081 2554055,amministrazione@romagnameccanica.it,https://www.romagnameccanica.it,"Via I Maggio, 15 - 97069 Bolzano (BZ)",97069,Bolzano,BZ,"Da oltre 6 anni siamo specializzati nel settore metalmeccanica. La nostra azienda, con sede a Bolzano, conta 3 collaboratori e un fatturato di 1.6 milioni di euro."
Vetrosolutions S.r.l.,S.r.l.,Chimica,2019,82385685834,Micro impresa,9,0.86,+39 011 6627041,amministrazione@vetrosolutions.it,https://www.vetrosolutions.it,"Viale della Repubblica, 64 - 58069 Pescara (PE)",58069,Pescara,PE,"Da oltre 6 anni siamo specializzati nel settore chimica. La nostra azienda, con sede a Pescara, conta 9 collaboratori e un fatturato di 0.86 milioni di euro."
Piemonte Legno Società cooperativa,Società cooperativa,Commercio,1982,63952254984,Micro impresa,4,0.46,+39 081 8325501,ufficio@piemontelegno.it,https://www.piemontelegno.it,"Via II Giugno, 82 - 53084 Vicenza (VI)",53084,Vicenza,VI,"Da oltre 43 anni siamo specializzati nel settore commercio. La nostra azienda, con sede a Vicenza, conta 4 collaboratori e un fatturato di 0.46 milioni di euro."
Brianza Edile,Ditta individuale,Chimica,1996,00040311239,Micro impresa,9,0.95,+39 091 453097,brianzaedile@yahoo.it,https://www.brianzaedile.it,"Via Garibaldi, 132 - 10046 Trento (TN)",10046,Trento,TN,"Realtà imprenditoriale italiana fondata nel 1996, specializzata nel settore chimica. La nostra struttura conta 9 professionisti qualificati e ha un fatturato di 0.95 milioni di euro."
Romagna Tessile S.a.s.,S.a.s.,Trasporti,2016,65145630691,Micro impresa,2,1.48,+39 06 6074855,ufficio@romagnatessile.it,https://www.romagnatessile.it,"Via XXV Aprile, 120 - 77028 Ancona (AN)",77028,Ancona,AN,"Realtà imprenditoriale italiana fondata nel 2016, specializzata nel settore trasporti. La nostra struttura conta 2 professionisti qualificati e ha un fatturato di 1.48 milioni di euro."
Piemonte Metalli,Ditta individuale,Legno e arredo,2019,21434759587,Micro impresa,4,0.39,+39 091 180702,piemontemetalli@pec.it,,"Via Bologna, 159 - 41031 Treviso (TV)",41031,Treviso,TV,"PMI italiana attiva nel settore legno e arredo dal 2019. Con 4 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
P.S.A.J. S.r.l.,S.r.l.,Edilizia,2014,44455299125,Micro impresa,7,0.48,+39 06 4349374,psaj@libero.it,,"Via Napoli, 199 - 77089 Vicenza (VI)",77089,Vicenza,VI,Azienda a conduzione familiare con 11 anni di esperienza nel settore edilizia. Siamo una micro impresa con 7 dipendenti e un fatturato annuo di 0.48 milioni di euro.
Rossi e Bianchi S.r.l.,S.r.l.,Servizi alle imprese,2008,57873548427,Piccola impresa,35,8.05,+39 350 2345158,amministrazione@rossiebianchi.it,https://www.rossiebianchi.it,"Via Dante, 119 - 93035 Cagliari (CA)",93035,Cagliari,CA,"PMI italiana attiva nel settore servizi alle imprese dal 2008. Con 35 dipendenti, offriamo prodotti e servizi di qualità per il mercato nazionale ed internazionale."
Lombardia Impianti,Ditta individuale,Artigianato,1997,88476483730,Micro impresa,8,0.35,+39 370 5534460,vendite@lombardiaimpianti.it,https://www.lombardiaimpianti.it,"Via Torino, 89 - 00129 Roma (RM)",00129,Roma,RM,"Realtà imprenditoriale italiana fondata nel 1997, specializzata nel settore artigianato. La nostra struttura conta 8 professionisti qualificati e ha un fatturato di 0.35 milioni di euro."
Termoproject,Ditta individuale,Agricoltura,2008,40343461648,Micro impresa,6,1.14,+39 06 6646945,ufficio@termoproject.it,https://www.termoproject.it,"Via Fermi, 15 - 25194 Brescia (BS)",25194,Brescia,BS,Azienda a conduzione familiare con 17 anni di esperienza nel settore agricoltura. Siamo una micro impresa con 6 dipendenti e un fatturato annuo di 1.14 milioni di euro.
Ferrari Meccanica S.r.l.,S.r.l.,Plastica,2015,33714027578,Micro impresa,3,0.99,+39 360 1107269,contatti@ferrarimeccanica.it,https://www.ferrarimeccanica.it,"Via I Maggio, 158 - 28075 Trento (TN)",28075,Trento,TN,"Realtà imprenditoriale italiana fondata nel 2015, specializzata nel settore plastica. La nostra struttura conta 3 professionisti qualificati e ha un fatturato di 0.99 milioni di euro."
D.L.N.R. S.p.A.,S.p.A.,Legno e arredo,2001,91290472449,Micro impresa,2,0.43,+39 091 2805149,dlnr@pec.it,https://www.dlnr.it,"Via I Maggio, 139 - 18018 Cagliari (CA)",18018,Cagliari,CA,"Fondata nel 2001, la nostra azienda opera nel settore legno e arredo con 2 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Romagna Legno S.r.l.,S.r.l.,Chimica,2016,05314637822,Micro impresa,1,0.27,+39 051 5564916,amministrazione@romagnalegno.it,,"Via II Giugno, 98 - 24021 Bergamo (BG)",24021,Bergamo,BG,"Da oltre 9 anni siamo specializzati nel settore chimica. La nostra azienda, con sede a Bergamo, conta 1 collaboratori e un fatturato di 0.27 milioni di euro."
Alimentconsulting,Ditta individuale,Alimentare,2021,26002732294,Micro impresa,9,0.22,+39 06 3277149,info@alimentconsulting.it,https://www.alimentconsulting.it,"Via Venezia, 94 - 31046 Ancona (AN)",31046,Ancona,AN,"Da oltre 4 anni siamo specializzati nel settore alimentare. La nostra azienda, con sede a Ancona, conta 9 collaboratori e un fatturato di 0.22 milioni di euro."
Greco Costruzioni S.r.l.,S.r.l.,Legno e arredo,2008,61231331291,Micro impresa,2,1.06,+39 380 2882371,contatti@grecocostruzioni.it,https://www.grecocostruzioni.it,"Via Galilei, 87 - 50159 Firenze (FI)",50159,Firenze,FI,Azienda a conduzione familiare con 17 anni di esperienza nel settore legno e arredo. Siamo una micro impresa con 2 dipendenti e un fatturato annuo di 1.06 milioni di euro.
Emilia Vetro S.r.l.,S.r.l.,Turismo,2015,91982322951,Piccola impresa,30,5.15,+39 091 1557263,amministrazione@emiliavetro.it,,"Via IV Novembre, 154 - 65079 Cagliari (CA)",65079,Cagliari,CA,"Fondata nel 2015, la nostra azienda opera nel settore turismo con 30 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Romano Costruzioni S.n.c.,S.n.c.,Plastica,2017,24280260363,Piccola impresa,31,4.89,+39 011 8749285,amministrazione@romanocostruzioni.it,https://www.romanocostruzioni.it,"Via Milano, 79 - 86038 Trento (TN)",86038,Trento,TN,Azienda a conduzione familiare con 8 anni di esperienza nel settore plastica. Siamo una piccola impresa con 31 dipendenti e un fatturato annuo di 4.89 milioni di euro.
Colombo - Marino Società cooperativa,Società cooperativa,Legno e arredo,1991,71375471059,Micro impresa,5,0.14,+39 049 6537261,colombomarino@legalmail.it,https://www.colombomarino.it,"Via dell'Artigianato, 2 - 35130 Padova (PD)",35130,Padova,PD,"Fondata nel 1991, la nostra azienda opera nel settore legno e arredo con 5 dipendenti. Offriamo soluzioni innovative e personalizzate per clienti in tutta Italia."
Colombo Trasporti S.r.l.,S.r.l.,Tessile,2018,24600442545,Micro impresa,1,1.36,+39 081 9008404,info@colombotrasporti.it,https://www.colombotrasporti.it,"Via Venezia, 196 - 10069 Udine (UD)",10069,Udine,UD,Azienda a conduzione familiare con 7 anni di esperienza nel settore tessile. Siamo una micro impresa con 1 dipendenti e un fatturato annuo di 1.36 milioni di euro.
Biocomponents S.r.l.,S.r.l.,Chimica,2003,66350807679,Piccola impresa,49,6.64,+39 330 9449424,contatti@biocomponents.it,https://www.biocomponents.it,"Via Napoli, 129 - 70196 Bari (BA)",70196,Bari,BA,"Da oltre 22 anni siamo specializzati nel settore chimica. La nostra azienda, con sede a Bari, conta 49 collaboratori e un fatturato di 6.64 milioni di euro."
