Ragione Sociale,Forma Giuridica,Settore,Indirizzo,Città,Provincia,Email,Telefono,Cellulare,Sito Web,Anno Fondazione,Dipendenti,Fatturato,Descrizione,Stato,Data contatto,Data risposta,Note
Romano Turismo,S.r.l.,Energia,"Via Bologna, 28, Città di Castello, Perugia",Città di Castello,Perugia,romanoturismo@hotmail.com,011 996943,,www.romanoturismo.com,2022,52,9932457,Azienda leader nel settore energia con focus su innovazione e qualità.,Non contattato,,,
Conti S.r.l.,S.r.l.,Tecnologia,"Via Milano, 79, Lecce, Lecce",Lecce,Lecce,contisrl@business.it,030 392158,,www.contisrl.org,1981,235,8296806,Azienda innovativa nel campo tecnologia con un team di professionisti qualificati.,Non contattato,,,
Barbieri Alimentare,S.r.l.,Consulenza,"Via Torino, 80, Bussolengo, Verona",Bussolengo,Verona,contatti@barbierialimentare.it,081 441369,,,2021,2,46016530,Forniamo soluzioni personalizzate per il settore consulenza a piccole e medie imprese.,Non contattato,,,
Colombo Cooperativa,S.r.l.,Alimentare,"Via Venezia, 119, Galatina, Lecce",Galatina,Lecce,colombocooperativa@business.it,06 0951047,,www.colombocooperativa.com,1982,160,29637179,PMI in crescita specializzata in prodotti e servizi alimentare di alta qualità.,Non contattato,,,
Bianchi S.p.A.,S.p.A.,Servizi,"Via Torino, 91, Carini, Palermo",Carini,Palermo,info@bianchispa.it,045 610576,,www.bianchispa.net,1984,78,438023,Azienda innovativa nel campo servizi con un team di professionisti qualificati.,Non contattato,,,
Esposito S.r.l.,S.a.s.,Arredamento,"Via Roma, 77, Lumezzane, Brescia",Lumezzane,Brescia,info@espositosrl.com,030 927912,350 7625672,www.espositosrl.it,1975,176,32605193,Forniamo soluzioni personalizzate per il settore arredamento a piccole e medie imprese.,Non contattato,,,
Esposito Marketing,S.r.l.,Agricoltura,"Via Genova, 4, Velletri, Roma",Velletri,Roma,info@espositomarketing.it,051 775791,390 1109990,www.espositomarketing.eu,1978,56,28109632,Dal 1978 operiamo con successo nel settore agricoltura con clienti in tutta Italia.,Non contattato,,,
Rizzo Elettronica,S.n.c.,Commercio,"Via Brescia, 74, Misterbianco, Catania",Misterbianco,Catania,info@rizzoelettronica.it,051 353925,,www.rizzoelettronica.org,2000,19,14328347,La nostra missione è fornire eccellenza nel settore commercio con un approccio innovativo.,Non contattato,,,
Greco S.n.c.,S.a.s.,Energia,"Via Mazzini, 21, Acireale, Catania",Acireale,Catania,info@grecosnc.com,045 430698,,www.grecosnc.it,1975,56,35243435,Offriamo servizi e prodotti di alta qualità nel settore energia dal 1975.,Non contattato,,,
AgriManufacturing,Ditta Individuale,Edilizia,"Via Brescia, 76, Galatina, Lecce",Galatina,Lecce,agrimanufacturing@yahoo.it,041 996329,,www.agrimanufacturing.eu,2001,149,29928983,Offriamo servizi e prodotti di alta qualità nel settore edilizia dal 2001.,Non contattato,,,
Giordano Edilizia,Ditta Individuale,Consulenza,"Via Catania, 114, Montichiari, Brescia",Montichiari,Brescia,info@giordanoedilizia.it,051 272203,,www.giordanoedilizia.eu,2019,143,49128300,PMI specializzata in soluzioni consulenza per il mercato italiano ed europeo.,Non contattato,,,
Mariani Cooperativa,S.a.s.,Consulenza,"Via Venezia, 79, Riva del Garda, Trento",Riva del Garda,Trento,info@marianicooperativa.it,010 861826,,www.marianicooperativa.com,2013,86,4780827,La nostra missione è fornire eccellenza nel settore consulenza con un approccio innovativo.,Non contattato,,,
Moretti S.n.c.,S.p.A.,Elettronica,"Via Cavour, 52, Città Sant'Angelo, Pescara",Città Sant'Angelo,Pescara,morettisnc@libero.it,055 165755,370 5628621,www.morettisnc.it,2003,187,17029165,Realtà consolidata nel panorama elettronica con particolare attenzione alla sostenibilità.,Non contattato,,,
Ferrara Servizi,Cooperativa,Alimentare,"Corso Italia, 60, Milano, Milano",Milano,Milano,ferraraservizi@enterprise.com,06 1790548,391 7420588,www.ferraraservizi.it,2005,117,580235,Offriamo servizi e prodotti di alta qualità nel settore alimentare dal 2005.,Non contattato,,,
Rizzo Alimentare,S.p.A.,Edilizia,"Via Garibaldi, 12, Monopoli, Bari",Monopoli,Bari,info@rizzoalimentare.com,030 305789,,www.rizzoalimentare.org,1983,173,15267736,PMI specializzata in soluzioni edilizia per il mercato italiano ed europeo.,Non contattato,,,
ItalSystems,S.a.s.,Agricoltura,"Via Cavour, 87, Penne, Pescara",Penne,Pescara,contatti@italsystems.it,055 419972,350 9846155,www.italsystems.eu,2010,52,41588190,Dal 2010 operiamo con successo nel settore agricoltura con clienti in tutta Italia.,Non contattato,,,
Ferrara Ditta Individuale,S.n.c.,Marketing,"Via Cavour, 130, Verona, Verona",Verona,Verona,info@ferraradittaindividuale.com,041 246923,380 5002001,www.ferraradittaindividuale.eu,2006,99,11092931,Dal 2006 operiamo con successo nel settore marketing con clienti in tutta Italia.,Non contattato,,,
Marino Logistica,S.r.l.,Turismo,"Via Napoli, 148, Firenze, Firenze",Firenze,Firenze,info@marinologistica.it,010 703751,,,1979,85,22684673,Azienda familiare con lunga tradizione nel settore turismo e forte radicamento territoriale.,Non contattato,,,
Bruno Chimica,S.a.s.,Meccanica,"Via Modena, 126, Nardò, Lecce",Nardò,Lecce,brunochimica@gmail.com,045 558785,340 5209460,,1995,227,42461424,Offriamo servizi e prodotti di alta qualità nel settore meccanica dal 1995.,Non contattato,,,
Marino Energia,Cooperativa,Edilizia,"Via Garibaldi, 123, Sassuolo, Modena",Sassuolo,Modena,marinoenergia@yahoo.it,080 530281,320 9460838,www.marinoenergia.it,1981,61,49551870,PMI in crescita specializzata in prodotti e servizi edilizia di alta qualità.,Non contattato,,,
Costa Cooperativa,S.n.c.,Chimica,"Via Mazzini, 98, Moncalieri, Torino",Moncalieri,Torino,info@costacooperativa.com,02 4639159,330 8346063,,1977,57,21443396,Offriamo servizi e prodotti di alta qualità nel settore chimica dal 1977.,Non contattato,,,
AutoCompany,Cooperativa,Automotive,"Via Padova, 85, Merano, Bolzano",Merano,Bolzano,contatti@autocompany.it,055 539923,,www.autocompany.org,1997,121,17780028,Realtà consolidata nel panorama automotive con particolare attenzione alla sostenibilità.,Non contattato,,,
Verdi Alimentare,Cooperativa,Tecnologia,"Via Garibaldi, 96, Legnago, Verona",Legnago,Verona,verdialimentare@group.it,030 144816,340 6833768,www.verdialimentare.it,1990,53,16389198,Forniamo soluzioni personalizzate per il settore tecnologia a piccole e medie imprese.,Non contattato,,,
Costa Ditta Individuale,S.p.A.,Formazione,"Via Leonardo da Vinci, 69, Foligno, Perugia",Foligno,Perugia,info@costadittaindividuale.com,080 160240,,,2002,93,28586168,Azienda leader nel settore formazione con focus su innovazione e qualità.,Non contattato,,,
Barbieri Ditta Individuale,S.n.c.,Consulenza,"Via Roma, 134, Copertino, Lecce",Copertino,Lecce,barbieridittaindividuale@hotmail.com,049 269549,350 6389575,www.barbieridittaindividuale.org,1982,232,10281014,La nostra missione è fornire eccellenza nel settore consulenza con un approccio innovativo.,Non contattato,,,
Conti S.p.A.,S.r.l.,Edilizia,"Via Modena, 149, Monreale, Palermo",Monreale,Palermo,contispa@outlook.it,010 498554,,www.contispa.it,1988,12,24049456,Dal 1988 operiamo con successo nel settore edilizia con clienti in tutta Italia.,Non contattato,,,
Romano Chimica,Cooperativa,Elettronica,"Via Milano, 11, Merano, Bolzano",Merano,Bolzano,info@romanochimica.com,055 059309,,www.romanochimica.eu,2004,127,49421848,Azienda familiare con lunga tradizione nel settore elettronica e forte radicamento territoriale.,Non contattato,,,
Rizzo Agricoltura,S.p.A.,Marketing,"Via Bologna, 56, Sesto Fiorentino, Firenze",Sesto Fiorentino,Firenze,contatti@rizzoagricoltura.it,02 6266100,350 1939963,www.rizzoagricoltura.eu,1988,92,21097206,Azienda familiare con lunga tradizione nel settore marketing e forte radicamento territoriale.,Non contattato,,,
Rizzo Farmaceutico,S.a.s.,Arredamento,"Via Verdi, 130, Castel Maggiore, Bologna",Castel Maggiore,Bologna,contatti@rizzofarmaceutico.it,051 553362,350 4555543,www.rizzofarmaceutico.net,2015,157,17041394,PMI in crescita specializzata in prodotti e servizi arredamento di alta qualità.,Non contattato,,,
SoftNetwork,Ditta Individuale,Logistica,"Via Padova, 139, Montesilvano, Pescara",Montesilvano,Pescara,info@softnetwork.com,041 156158,,,1978,250,49446014,Azienda leader nel settore logistica con focus su innovazione e qualità.,Non contattato,,,
Greco S.a.s.,S.a.s.,Automotive,"Via Leonardo da Vinci, 138, Monopoli, Bari",Monopoli,Bari,info@grecosas.it,081 982081,,www.grecosas.net,1997,250,6806106,Realtà consolidata nel panorama automotive con particolare attenzione alla sostenibilità.,Non contattato,,,
AutoPartners,S.a.s.,Chimica,"Via Palermo, 35, Brunico, Bolzano",Brunico,Bolzano,autopartners@libero.it,080 668197,370 2219692,www.autopartners.org,1998,183,31744926,PMI in crescita specializzata in prodotti e servizi chimica di alta qualità.,Non contattato,,,
Lombardi Automotive,S.p.A.,Edilizia,"Via Bari, 68, Corato, Bari",Corato,Bari,info@lombardiautomotive.it,049 603296,360 9809255,www.lombardiautomotive.org,2022,66,5655924,PMI specializzata in soluzioni edilizia per il mercato italiano ed europeo.,Non contattato,,,
MediDevelopment,Cooperativa,Marketing,"Via Genova, 34, Moncalieri, Torino",Moncalieri,Torino,contatti@medidevelopment.it,06 4804879,390 9464371,www.medidevelopment.org,2019,26,14128290,Azienda leader nel settore marketing con focus su innovazione e qualità.,Non contattato,,,
ItalNetwork,S.p.A.,Design,"Via Brescia, 11, Scandicci, Firenze",Scandicci,Firenze,info@italnetwork.com,051 981456,,www.italnetwork.eu,2016,33,33183804,Forniamo soluzioni personalizzate per il settore design a piccole e medie imprese.,Non contattato,,,
Lombardi Trasporti,Cooperativa,Marketing,"Via Padova, 23, Rapallo, Genova",Rapallo,Genova,info@lombarditrasporti.com,02 9977261,370 7348739,,2007,249,13710613,Dal 2007 operiamo con successo nel settore marketing con clienti in tutta Italia.,Non contattato,,,
GlobalTech,S.p.A.,Tessile,"Via Roma, 34, Verona, Verona",Verona,Verona,contatti@globaltech.it,049 714428,,www.globaltech.com,1980,130,41009458,Dal 1980 operiamo con successo nel settore tessile con clienti in tutta Italia.,Non contattato,,,
EcoProducts,S.n.c.,Trasporti,"Via Mazzini, 73, Fiumicino, Roma",Fiumicino,Roma,info@ecoproducts.com,049 973735,,www.ecoproducts.eu,1982,246,43631535,Offriamo servizi e prodotti di alta qualità nel settore trasporti dal 1982.,Non contattato,,,
Conti Turismo,S.n.c.,Immobiliare,"Via Brescia, 13, Misterbianco, Catania",Misterbianco,Catania,contatti@contiturismo.it,041 098811,390 6677733,www.contiturismo.it,1996,84,3198889,Azienda leader nel settore immobiliare con focus su innovazione e qualità.,Non contattato,,,
Romano Formazione,Cooperativa,Agricoltura,"Via Vittorio Emanuele, 134, Foligno, Perugia",Foligno,Perugia,info@romanoformazione.it,055 637873,391 4728363,,2018,12,40042911,Realtà consolidata nel panorama agricoltura con particolare attenzione alla sostenibilità.,Non contattato,,,
ElectroGroup,S.p.A.,Commercio,"Via Genova, 84, Fiumicino, Roma",Fiumicino,Roma,electrogroup@company.it,045 655364,,www.electrogroup.eu,1975,183,23990423,Forniamo soluzioni personalizzate per il settore commercio a piccole e medie imprese.,Non contattato,,,
Caruso Commercio,S.p.A.,Consulenza,"Corso Italia, 85, Chiavari, Genova",Chiavari,Genova,carusocommercio@business.it,041 981257,,www.carusocommercio.org,2021,9,26767947,Offriamo servizi e prodotti di alta qualità nel settore consulenza dal 2021.,Non contattato,,,
AgriPartners,S.r.l.,Design,"Via Milano, 130, Casalecchio, Bologna",Casalecchio,Bologna,agripartners@pec.it,080 395096,391 7545000,,2006,199,38020122,Realtà consolidata nel panorama design con particolare attenzione alla sostenibilità.,Non contattato,,,
Costa Marketing,S.p.A.,Energia,"Via Bologna, 60, Abano Terme, Padova",Abano Terme,Padova,contatti@costamarketing.it,02 4903528,370 5054230,www.costamarketing.org,1972,179,29495383,La nostra missione è fornire eccellenza nel settore energia con un approccio innovativo.,Non contattato,,,
NetEnterprise,Ditta Individuale,Immobiliare,"Corso Italia, 112, Langhirano, Parma",Langhirano,Parma,contatti@netenterprise.it,045 318022,,www.netenterprise.org,1998,232,29529345,PMI in crescita specializzata in prodotti e servizi immobiliare di alta qualità.,Non contattato,,,
Bruno Alimentare,S.n.c.,Ristorazione,"Via Firenze, 23, Carini, Palermo",Carini,Palermo,info@brunoalimentare.com,080 099244,,www.brunoalimentare.com,1978,227,31921347,Azienda familiare con lunga tradizione nel settore ristorazione e forte radicamento territoriale.,Non contattato,,,
WebProducts,Ditta Individuale,Chimica,"Via Firenze, 8, Lodi, Milano",Lodi,Milano,info@webproducts.it,06 7505039,,,2009,166,471822,Realtà consolidata nel panorama chimica con particolare attenzione alla sostenibilità.,Non contattato,,,
InfoTechnologies,S.n.c.,Logistica,"Via Firenze, 5, Pergine, Trento",Pergine,Trento,info@infotechnologies.it,041 224307,320 2790072,www.infotechnologies.org,1989,180,1481686,PMI in crescita specializzata in prodotti e servizi logistica di alta qualità.,Non contattato,,,
AgriCompany,S.r.l.,Elettronica,"Via Napoli, 36, Villafranca, Verona",Villafranca,Verona,contatti@agricompany.it,055 859696,350 6124736,,2004,120,21001102,Offriamo servizi e prodotti di alta qualità nel settore elettronica dal 2004.,Non contattato,,,
TeleConsulting,S.r.l.,Farmaceutico,"Via Vittorio Emanuele, 104, Termini Imerese, Palermo",Termini Imerese,Palermo,contatti@teleconsulting.it,055 891309,,www.teleconsulting.it,1991,117,29698572,Azienda leader nel settore farmaceutico con focus su innovazione e qualità.,Non contattato,,,
SmartItalia,S.r.l.,Commercio,"Via Verona, 87, Anzio, Roma",Anzio,Roma,contatti@smartitalia.it,041 175934,,www.smartitalia.org,2016,40,7364948,Azienda leader nel settore commercio con focus su innovazione e qualità.,Non contattato,,,
BioInnovations,S.a.s.,Consulenza,"Via Firenze, 124, Casalecchio, Bologna",Casalecchio,Bologna,contatti@bioinnovations.it,02 4088348,,www.bioinnovations.org,1983,57,34743911,PMI in crescita specializzata in prodotti e servizi consulenza di alta qualità.,Non contattato,,,
Ferrari S.p.A.,S.p.A.,Ristorazione,"Via Brescia, 116, Spoltore, Pescara",Spoltore,Pescara,contatti@ferrarispa.it,041 831916,,www.ferrarispa.it,1972,249,34971983,La nostra missione è fornire eccellenza nel settore ristorazione con un approccio innovativo.,Non contattato,,,
AutoGroup,Cooperativa,Elettronica,"Corso Italia, 150, Este, Padova",Este,Padova,info@autogroup.it,049 408385,,www.autogroup.it,1995,207,15222755,La nostra missione è fornire eccellenza nel settore elettronica con un approccio innovativo.,Non contattato,,,
Ferrara S.a.s.,S.a.s.,Formazione,"Corso Italia, 87, Jesolo, Venezia",Jesolo,Venezia,info@ferrarasas.com,049 748599,,www.ferrarasas.com,2005,183,37578724,Dal 2005 operiamo con successo nel settore formazione con clienti in tutta Italia.,Non contattato,,,
Moretti Immobiliare,S.a.s.,Agricoltura,"Via Padova, 85, Copertino, Lecce",Copertino,Lecce,info@morettiimmobiliare.com,030 173247,,,2016,44,24593240,Realtà consolidata nel panorama agricoltura con particolare attenzione alla sostenibilità.,Non contattato,,,
Rizzo S.n.c.,S.a.s.,Consulenza,"Via Torino, 107, Desenzano, Brescia",Desenzano,Brescia,contatti@rizzosnc.it,06 8231368,350 9395109,www.rizzosnc.it,1975,93,5640576,Forniamo soluzioni personalizzate per il settore consulenza a piccole e medie imprese.,Non contattato,,,
Moretti Alimentare,Ditta Individuale,Energia,"Via Vittorio Emanuele, 102, Ercolano, Napoli",Ercolano,Napoli,morettialimentare@hotmail.com,045 377621,,,1993,131,42152762,La nostra missione è fornire eccellenza nel settore energia con un approccio innovativo.,Non contattato,,,
Caruso Automotive,S.n.c.,Manifatturiero,"Via Firenze, 34, Lodi, Milano",Lodi,Milano,info@carusoautomotive.it,081 459294,320 7858044,www.carusoautomotive.eu,1999,233,9639532,Forniamo soluzioni personalizzate per il settore manifatturiero a piccole e medie imprese.,Non contattato,,,
GreenTechnologies,S.n.c.,Chimica,"Via Milano, 120, Monselice, Padova",Monselice,Padova,info@greentechnologies.com,051 061068,,www.greentechnologies.it,2005,241,30800543,PMI in crescita specializzata in prodotti e servizi chimica di alta qualità.,Non contattato,,,
EuroConsulting,S.r.l.,Servizi,"Via Genova, 10, Este, Padova",Este,Padova,info@euroconsulting.com,011 290185,,www.euroconsulting.org,1984,99,10887781,Azienda leader nel settore servizi con focus su innovazione e qualità.,Non contattato,,,
Caruso Ristorazione,Cooperativa,Logistica,"Via Genova, 121, Capoterra, Cagliari",Capoterra,Cagliari,info@carusoristorazione.com,02 5931035,,www.carusoristorazione.org,1999,38,10829198,Azienda leader nel settore logistica con focus su innovazione e qualità.,Non contattato,,,
GeoPartners,Cooperativa,Marketing,"Via Cavour, 35, Rho, Milano",Rho,Milano,info@geopartners.it,06 2860632,390 0753483,www.geopartners.org,1974,242,20646729,Offriamo servizi e prodotti di alta qualità nel settore marketing dal 1974.,Non contattato,,,
Gallo Manifatturiero,S.n.c.,Farmaceutico,"Via Marconi, 111, Paternò, Catania",Paternò,Catania,info@gallomanifatturiero.it,06 7214901,390 9251852,www.gallomanifatturiero.com,2012,131,39105123,PMI in crescita specializzata in prodotti e servizi farmaceutico di alta qualità.,Non contattato,,,
SoftEnterprise,Cooperativa,Consulenza,"Via Palermo, 136, Galatina, Lecce",Galatina,Lecce,info@softenterprise.com,030 551187,,www.softenterprise.it,1986,27,28025076,Dal 1986 operiamo con successo nel settore consulenza con clienti in tutta Italia.,Non contattato,,,
Ricci Trasporti,Ditta Individuale,Alimentare,"Via Bologna, 27, Civitavecchia, Roma",Civitavecchia,Roma,info@riccitrasporti.it,045 836637,,www.riccitrasporti.eu,1999,8,6767682,Azienda leader nel settore alimentare con focus su innovazione e qualità.,Non contattato,,,
ItalPartners,S.n.c.,Trasporti,"Via Firenze, 123, Napoli, Napoli",Napoli,Napoli,info@italpartners.it,081 867873,391 3124963,www.italpartners.eu,2010,70,35197398,Realtà consolidata nel panorama trasporti con particolare attenzione alla sostenibilità.,Non contattato,,,
Greco Logistica,S.n.c.,Farmaceutico,"Via Leonardo da Vinci, 150, Riva del Garda, Trento",Riva del Garda,Trento,contatti@grecologistica.it,010 259570,,www.grecologistica.com,1979,248,15135087,La nostra missione è fornire eccellenza nel settore farmaceutico con un approccio innovativo.,Non contattato,,,
Greco S.r.l.,S.p.A.,Alimentare,"Via Marconi, 106, Montesilvano, Pescara",Montesilvano,Pescara,info@grecosrl.com,045 752387,391 3187348,www.grecosrl.com,1978,227,2340508,Azienda familiare con lunga tradizione nel settore alimentare e forte radicamento territoriale.,Non contattato,,,
Ferrari Consulenza,Cooperativa,Turismo,"Via Bari, 54, Bolzano, Bolzano",Bolzano,Bolzano,info@ferrariconsulenza.it,051 666906,370 0641115,,1982,95,23210468,Dal 1982 operiamo con successo nel settore turismo con clienti in tutta Italia.,Non contattato,,,
Fontana Meccanica,S.p.A.,Commercio,"Via Modena, 57, Monreale, Palermo",Monreale,Palermo,fontanameccanica@outlook.it,06 3547934,330 8888885,,2004,9,30344225,PMI specializzata in soluzioni commercio per il mercato italiano ed europeo.,Non contattato,,,
BioManufacturing,Ditta Individuale,Manifatturiero,"Via Verdi, 58, Catania, Catania",Catania,Catania,info@biomanufacturing.it,030 127314,380 1180235,www.biomanufacturing.eu,1976,216,33048931,Realtà consolidata nel panorama manifatturiero con particolare attenzione alla sostenibilità.,Non contattato,,,
MechProducts,S.r.l.,Arredamento,"Via Padova, 44, Monselice, Padova",Monselice,Padova,info@mechproducts.it,051 082063,391 3535521,www.mechproducts.com,1997,64,3816344,Offriamo servizi e prodotti di alta qualità nel settore arredamento dal 1997.,Non contattato,,,
AeroGroup,Ditta Individuale,Meccanica,"Via Brescia, 101, Dalmine, Bergamo",Dalmine,Bergamo,aerogroup@pec.it,081 684261,330 3827364,www.aerogroup.eu,1971,35,34894216,PMI in crescita specializzata in prodotti e servizi meccanica di alta qualità.,Non contattato,,,
Bruno Cooperativa,S.p.A.,Tessile,"Via Vittorio Emanuele, 108, Portici, Napoli",Portici,Napoli,info@brunocooperativa.it,049 186290,330 0703815,www.brunocooperativa.net,1997,163,21184946,Dal 1997 operiamo con successo nel settore tessile con clienti in tutta Italia.,Non contattato,,,
Marino Marketing,Cooperativa,Edilizia,"Via Venezia, 92, Firenze, Firenze",Firenze,Firenze,info@marinomarketing.com,030 296725,,,2013,64,47058869,PMI in crescita specializzata in prodotti e servizi edilizia di alta qualità.,Non contattato,,,
Bruno Arredamento,Cooperativa,Alimentare,"Via Firenze, 65, San Bonifacio, Verona",San Bonifacio,Verona,contatti@brunoarredamento.it,045 192302,,www.brunoarredamento.com,1993,193,31551894,Azienda innovativa nel campo alimentare con un team di professionisti qualificati.,Non contattato,,,
Rizzo S.p.A.,Ditta Individuale,Energia,"Via Cavour, 29, San Bonifacio, Verona",San Bonifacio,Verona,info@rizzospa.com,049 801043,360 8425130,www.rizzospa.it,1980,99,33552469,Azienda leader nel settore energia con focus su innovazione e qualità.,Non contattato,,,
Esposito Manifatturiero,S.n.c.,Farmaceutico,"Via Dante, 52, Riva del Garda, Trento",Riva del Garda,Trento,contatti@espositomanifatturiero.it,055 096967,,,2011,181,32089795,Realtà consolidata nel panorama farmaceutico con particolare attenzione alla sostenibilità.,Non contattato,,,
Lombardi Logistica,S.p.A.,Commercio,"Via Bari, 4, Fidenza, Parma",Fidenza,Parma,lombardilogistica@tech.it,010 767413,,www.lombardilogistica.it,2023,200,23972110,La nostra missione è fornire eccellenza nel settore commercio con un approccio innovativo.,Non contattato,,,
WebServices,S.r.l.,Energia,"Via Bologna, 54, Bologna, Bologna",Bologna,Bologna,contatti@webservices.it,080 784332,391 0891995,,2013,127,6905056,Azienda leader nel settore energia con focus su innovazione e qualità.,Non contattato,,,
Romano Cooperativa,Cooperativa,Design,"Via Bari, 135, Velletri, Roma",Velletri,Roma,info@romanocooperativa.com,045 481876,320 1570887,www.romanocooperativa.it,1991,46,30287633,La nostra missione è fornire eccellenza nel settore design con un approccio innovativo.,Non contattato,,,
Moretti Edilizia,Ditta Individuale,Edilizia,"Via Leonardo da Vinci, 13, Prato, Firenze",Prato,Firenze,info@morettiedilizia.it,051 300463,340 8737286,www.morettiedilizia.it,2021,26,27291303,Azienda familiare con lunga tradizione nel settore edilizia e forte radicamento territoriale.,Non contattato,,,
Ferrari Trasporti,S.a.s.,Meccanica,"Via Napoli, 13, Bologna, Bologna",Bologna,Bologna,info@ferraritrasporti.it,06 4117464,330 8651816,www.ferraritrasporti.it,1982,128,42636906,PMI in crescita specializzata in prodotti e servizi meccanica di alta qualità.,Non contattato,,,
Verdi Cooperativa,Ditta Individuale,Arredamento,"Via Garibaldi, 108, Arco, Trento",Arco,Trento,info@verdicooperativa.it,02 3367793,,www.verdicooperativa.net,1995,29,20953777,Forniamo soluzioni personalizzate per il settore arredamento a piccole e medie imprese.,Non contattato,,,
Costa S.p.A.,S.n.c.,Ristorazione,"Via Catania, 79, Catania, Catania",Catania,Catania,info@costaspa.it,051 155817,330 4355682,,2014,135,39188822,Dal 2014 operiamo con successo nel settore ristorazione con clienti in tutta Italia.,Non contattato,,,
Rossi Formazione,S.a.s.,Commercio,"Via Vittorio Emanuele, 124, Pinerolo, Torino",Pinerolo,Torino,info@rossiformazione.it,06 8729315,,,2015,105,1744782,Azienda leader nel settore commercio con focus su innovazione e qualità.,Non contattato,,,
GlobalIndustries,S.r.l.,Chimica,"Via Venezia, 97, Penne, Pescara",Penne,Pescara,contatti@globalindustries.it,051 723459,340 7513416,www.globalindustries.it,2011,76,3315358,PMI in crescita specializzata in prodotti e servizi chimica di alta qualità.,Non contattato,,,
Moretti S.a.s.,S.n.c.,Commercio,"Via Padova, 83, Rovereto, Trento",Rovereto,Trento,info@morettisas.it,010 763236,380 5998638,www.morettisas.eu,2012,115,15465893,Dal 2012 operiamo con successo nel settore commercio con clienti in tutta Italia.,Non contattato,,,
Conti Marketing,Cooperativa,Commercio,"Via Catania, 68, Tivoli, Roma",Tivoli,Roma,info@contimarketing.com,041 666951,,www.contimarketing.eu,2000,147,3358672,Forniamo soluzioni personalizzate per il settore commercio a piccole e medie imprese.,Non contattato,,,
Costa Immobiliare,Ditta Individuale,Energia,"Via Verona, 137, San Bonifacio, Verona",San Bonifacio,Verona,info@costaimmobiliare.com,055 569289,360 6753835,www.costaimmobiliare.net,1997,249,18652579,PMI specializzata in soluzioni energia per il mercato italiano ed europeo.,Non contattato,,,
Rossi S.r.l.,Ditta Individuale,Trasporti,"Via Milano, 97, Sesto Fiorentino, Firenze",Sesto Fiorentino,Firenze,rossisrl@azienda.com,06 2257950,,,2019,26,43705651,La nostra missione è fornire eccellenza nel settore trasporti con un approccio innovativo.,Non contattato,,,
Romano Elettronica,Ditta Individuale,Chimica,"Via Cavour, 2, Lumezzane, Brescia",Lumezzane,Brescia,info@romanoelettronica.com,045 104923,,,1980,58,8911065,Dal 1980 operiamo con successo nel settore chimica con clienti in tutta Italia.,Non contattato,,,
TeleSystems,Cooperativa,Commercio,"Via Cavour, 72, Treviglio, Bergamo",Treviglio,Bergamo,info@telesystems.com,049 910038,390 1826676,www.telesystems.org,2009,224,37806089,Offriamo servizi e prodotti di alta qualità nel settore commercio dal 2009.,Non contattato,,,
Moretti Automotive,S.n.c.,Chimica,"Via Palermo, 13, Jesi, Ancona",Jesi,Ancona,info@morettiautomotive.it,055 106241,,,2012,214,2308441,Azienda innovativa nel campo chimica con un team di professionisti qualificati.,Non contattato,,,
Esposito Design,S.p.A.,Arredamento,"Via Garibaldi, 3, Casalecchio, Bologna",Casalecchio,Bologna,contatti@espositodesign.it,055 553668,340 6298445,www.espositodesign.org,1976,168,31205208,Azienda familiare con lunga tradizione nel settore arredamento e forte radicamento territoriale.,Non contattato,,,
Rossi Design,S.r.l.,Tessile,"Via Firenze, 49, Mestre, Venezia",Mestre,Venezia,info@rossidesign.it,049 466286,,www.rossidesign.it,2022,235,2299882,Azienda familiare con lunga tradizione nel settore tessile e forte radicamento territoriale.,Non contattato,,,
Romano Tecnologia,Cooperativa,Farmaceutico,"Via Venezia, 5, Este, Padova",Este,Padova,contatti@romanotecnologia.it,02 0046091,,www.romanotecnologia.org,1994,22,1804106,Realtà consolidata nel panorama farmaceutico con particolare attenzione alla sostenibilità.,Non contattato,,,
DataTech,Cooperativa,Arredamento,"Via Catania, 50, Arco, Trento",Arco,Trento,info@datatech.com,030 345797,,www.datatech.com,1986,88,35429068,Offriamo servizi e prodotti di alta qualità nel settore arredamento dal 1986.,Non contattato,,,
Ferrari Cooperativa,Cooperativa,Energia,"Via Padova, 55, Montesilvano, Pescara",Montesilvano,Pescara,contatti@ferraricooperativa.it,010 517218,,www.ferraricooperativa.com,1981,51,8641931,Azienda leader nel settore energia con focus su innovazione e qualità.,Non contattato,,,
Esposito Tecnologia,S.p.A.,Alimentare,"Via Dante, 91, Spoleto, Perugia",Spoleto,Perugia,espositotecnologia@pec.it,049 706570,,www.espositotecnologia.com,1988,174,33971197,Offriamo servizi e prodotti di alta qualità nel settore alimentare dal 1988.,Non contattato,,,
DigitalItalia,S.n.c.,Logistica,"Via Roma, 103, Rapallo, Genova",Rapallo,Genova,contatti@digitalitalia.it,051 734729,340 6151714,www.digitalitalia.it,2020,167,968178,Azienda leader nel settore logistica con focus su innovazione e qualità.,Non contattato,,,
Verdi Energia,S.p.A.,Edilizia,"Via Bologna, 66, Scandicci, Firenze",Scandicci,Firenze,contatti@verdienergia.it,045 247469,320 3742324,www.verdienergia.it,1977,43,34587532,La nostra missione è fornire eccellenza nel settore edilizia con un approccio innovativo.,Non contattato,,,
